fan_source_mechanism,model,n_folds,n_test_total,rmse_mean,r2_mean,rmse_std,r2_std
percent,mlp,1,6,1.0534553338741952,-2.7160670312109167,,
percent,ridge,1,6,1.1958210624711563,-3.7883257033907274,,
