Params,MAE,RMSE
p=0,1625.4229370804744,3059.5957069859005
Base,1679.7640232539788,3074.176844353435
p=2,1673.533510909225,3071.90194116916
q=0,1807.4651229428912,3125.736452757504
q=2,1673.0688070546107,3142.8238102009154
P=0,1542.2357198276463,3056.3853440564267
Q=0,1708.1220100951969,3118.077633776116
