Model,CV Accuracy,CV Std,Test Accuracy,Test F1
Logistic Regression,0.6341197822141561,0.04449180413799733,0.6944444444444444,0.6836853315123728
Random Forest,0.6793103448275862,0.04324364544561326,0.6666666666666666,0.656523347315709
Gradient Boosting,0.6548699334543255,0.033804258615519195,0.7083333333333334,0.702358282276315
SVM,0.6304295220810647,0.04759176088976831,0.6527777777777778,0.6202811244979921
