Class,Precision,Recall,F1-Score,Support
Easy,0.2,0.16666666666666666,0.18181818181818182,6
Hard,0.7428571428571429,0.7878787878787878,0.7647058823529411,33
Medium,0.65625,0.6363636363636364,0.6461538461538462,33
