season,mechanism,alpha,n_sims,n_finalists,top_judge_final,champion_mode,champion_mode_prob,champion_entropy,tpi_season_avg,fan_vs_uniform_contrast,robust_fail_rate,outlier_mult
9,rank,0.5,50,3,Donny Osmond,Mya,0.5,0.9686871446034316,0.7386092157842158,0.5,0.74,2.0
9,rank,0.5,50,3,Donny Osmond,Mya,0.5,0.9686871446034316,0.7386092157842158,0.5,0.88,5.0
9,rank,0.5,50,3,Donny Osmond,Mya,0.5,0.9686871446034316,0.7386092157842158,0.5,0.9,10.0
9,percent_judge_save,0.5,50,3,Donny Osmond,Mya,0.5,1.096555532485168,0.7783526806526807,0.5,0.82,2.0
9,percent_judge_save,0.5,50,3,Donny Osmond,Mya,0.5,1.096555532485168,0.7783526806526807,0.5,0.82,5.0
9,percent_judge_save,0.5,50,3,Donny Osmond,Mya,0.5,1.096555532485168,0.7783526806526807,0.5,0.96,10.0
9,percent_sqrt,0.5,50,3,Donny Osmond,Donny Osmond,0.4,1.2301241089406996,0.7269389447004243,0.68,0.76,2.0
9,percent_sqrt,0.5,50,3,Donny Osmond,Donny Osmond,0.4,1.2301241089406996,0.7269389447004243,0.68,0.82,5.0
9,percent_sqrt,0.5,50,3,Donny Osmond,Donny Osmond,0.4,1.2301241089406996,0.7269389447004243,0.68,0.8,10.0
9,percent_log,0.5,50,3,Donny Osmond,Mya,0.46,1.3486268449202232,0.748157874466803,0.54,0.78,2.0
9,percent_log,0.5,50,3,Donny Osmond,Mya,0.46,1.3486268449202232,0.748157874466803,0.54,0.84,5.0
9,percent_log,0.5,50,3,Donny Osmond,Mya,0.46,1.3486268449202232,0.748157874466803,0.54,0.86,10.0
9,dynamic_weight,0.5,50,3,Donny Osmond,Mya,0.4,1.234428202735887,0.7405592508398631,0.6,0.7,2.0
9,dynamic_weight,0.5,50,3,Donny Osmond,Mya,0.4,1.234428202735887,0.7405592508398631,0.6,0.68,5.0
9,dynamic_weight,0.5,50,3,Donny Osmond,Mya,0.4,1.234428202735887,0.7405592508398631,0.6,0.8,10.0
9,percent_cap,0.5,50,3,Donny Osmond,Mya,0.34,1.2490870170016395,0.7196278940730471,0.66,0.74,2.0
9,percent_cap,0.5,50,3,Donny Osmond,Mya,0.34,1.2490870170016395,0.7196278940730471,0.66,0.74,5.0
9,percent_cap,0.5,50,3,Donny Osmond,Mya,0.34,1.2490870170016395,0.7196278940730471,0.66,0.82,10.0
10,percent,0.5,50,3,Nicole Scherzinger,Nicole Scherzinger,0.46,1.0549303149683658,0.8572041125541126,0.54,0.64,2.0
10,percent,0.5,50,3,Nicole Scherzinger,Nicole Scherzinger,0.46,1.0549303149683658,0.8572041125541126,0.54,0.8,5.0
10,percent,0.5,50,3,Nicole Scherzinger,Nicole Scherzinger,0.46,1.0549303149683658,0.8572041125541126,0.54,0.8,10.0
10,rank,0.5,50,3,Nicole Scherzinger,Nicole Scherzinger,0.58,0.6802920001921535,0.8634661616161615,0.42,0.5,2.0
10,rank,0.5,50,3,Nicole Scherzinger,Nicole Scherzinger,0.58,0.6802920001921535,0.8634661616161615,0.42,0.42,5.0
10,rank,0.5,50,3,Nicole Scherzinger,Nicole Scherzinger,0.58,0.6802920001921535,0.8634661616161615,0.42,0.3,10.0
10,percent_judge_save,0.5,50,3,Nicole Scherzinger,Nicole Scherzinger,0.52,0.9379822023303179,0.8931227994227995,0.48,0.64,2.0
10,percent_judge_save,0.5,50,3,Nicole Scherzinger,Nicole Scherzinger,0.52,0.9379822023303179,0.8931227994227995,0.48,0.74,5.0
10,percent_judge_save,0.5,50,3,Nicole Scherzinger,Nicole Scherzinger,0.52,0.9379822023303179,0.8931227994227995,0.48,0.62,10.0
10,percent_sqrt,0.5,50,3,Nicole Scherzinger,Nicole Scherzinger,0.48,1.0526592184705181,0.8535463232912212,0.52,0.72,2.0
10,percent_sqrt,0.5,50,3,Nicole Scherzinger,Nicole Scherzinger,0.48,1.0526592184705181,0.8535463232912212,0.52,0.76,5.0
10,percent_sqrt,0.5,50,3,Nicole Scherzinger,Nicole Scherzinger,0.48,1.0526592184705181,0.8535463232912212,0.52,0.86,10.0
10,percent_log,0.5,50,3,Nicole Scherzinger,Nicole Scherzinger,0.36,1.3740667755739049,0.810954986371653,0.64,0.72,2.0
10,percent_log,0.5,50,3,Nicole Scherzinger,Nicole Scherzinger,0.36,1.3740667755739049,0.810954986371653,0.64,0.86,5.0
10,percent_log,0.5,50,3,Nicole Scherzinger,Nicole Scherzinger,0.36,1.3740667755739049,0.810954986371653,0.64,0.9,10.0
10,dynamic_weight,0.5,50,3,Nicole Scherzinger,Nicole Scherzinger,0.44,1.1509939592166962,0.8502695105820105,0.56,0.72,2.0
10,dynamic_weight,0.5,50,3,Nicole Scherzinger,Nicole Scherzinger,0.44,1.1509939592166962,0.8502695105820105,0.56,0.8,5.0
10,dynamic_weight,0.5,50,3,Nicole Scherzinger,Nicole Scherzinger,0.44,1.1509939592166962,0.8502695105820105,0.56,0.92,10.0
10,percent_cap,0.5,50,3,Nicole Scherzinger,Erin Andrews,0.4,1.1199367626644336,0.8385472067614925,0.6,0.7,2.0
10,percent_cap,0.5,50,3,Nicole Scherzinger,Erin Andrews,0.4,1.1199367626644336,0.8385472067614925,0.6,0.78,5.0
10,percent_cap,0.5,50,3,Nicole Scherzinger,Erin Andrews,0.4,1.1199367626644336,0.8385472067614925,0.6,0.86,10.0
11,percent,0.5,50,3,Jennifer Grey,Jennifer Grey,0.36,1.420758078431303,0.7254053124376255,0.64,0.66,2.0
11,percent,0.5,50,3,Jennifer Grey,Jennifer Grey,0.36,1.420758078431303,0.7254053124376255,0.64,0.76,5.0
11,percent,0.5,50,3,Jennifer Grey,Jennifer Grey,0.36,1.420758078431303,0.7254053124376255,0.64,0.86,10.0
11,rank,0.5,50,3,Jennifer Grey,Jennifer Grey,0.78,0.6940083875558503,0.8577008818342152,0.22,0.34,2.0
11,rank,0.5,50,3,Jennifer Grey,Jennifer Grey,0.78,0.6940083875558503,0.8577008818342152,0.22,0.3,5.0
11,rank,0.5,50,3,Jennifer Grey,Jennifer Grey,0.78,0.6940083875558503,0.8577008818342152,0.22,0.38,10.0
11,percent_judge_save,0.5,50,3,Jennifer Grey,Jennifer Grey,0.64,0.9866708827976097,0.8296810263306863,0.36,0.46,2.0
11,percent_judge_save,0.5,50,3,Jennifer Grey,Jennifer Grey,0.64,0.9866708827976097,0.8296810263306863,0.36,0.58,5.0
11,percent_judge_save,0.5,50,3,Jennifer Grey,Jennifer Grey,0.64,0.9866708827976097,0.8296810263306863,0.36,0.62,10.0
11,percent_sqrt,0.5,50,3,Jennifer Grey,Jennifer Grey,0.4,1.400824089318218,0.73610029277564,0.6,0.68,2.0
11,percent_sqrt,0.5,50,3,Jennifer Grey,Jennifer Grey,0.4,1.400824089318218,0.73610029277564,0.6,0.76,5.0
11,percent_sqrt,0.5,50,3,Jennifer Grey,Jennifer Grey,0.4,1.400824089318218,0.73610029277564,0.6,0.76,10.0
11,percent_log,0.5,50,3,Jennifer Grey,Jennifer Grey,0.38,1.329376049359362,0.6868617459008617,0.62,0.76,2.0
11,percent_log,0.5,50,3,Jennifer Grey,Jennifer Grey,0.38,1.329376049359362,0.6868617459008617,0.62,0.74,5.0
11,percent_log,0.5,50,3,Jennifer Grey,Jennifer Grey,0.38,1.329376049359362,0.6868617459008617,0.62,0.88,10.0
11,dynamic_weight,0.5,50,3,Jennifer Grey,Kyle Massey,0.4,1.3348521049761,0.6983991395981193,0.64,0.76,2.0
