outcome,model,term,estimate,ci_low,ci_high,std_err,p_value,n_obs,n_refits,note,fan_source_mechanism
fan_vote_index_mean,ols,log_state_pop,-0.05783082026451101,-0.10869871346199991,-0.006962927067022104,0.025849817194330046,0.026001252014903126,421,1,fan_line_quick_ols_percent,percent
fan_vote_index_mean,ols,Intercept,-1.1895026437349996,-2.0651571581013783,-0.31384812936862094,0.44498617298500864,0.007922065714079071,421,1,fan_line_quick_ols_rank,rank
fan_vote_index_mean,ols,C(industry)[T.Astronaut],-0.015545967789518467,-1.4313778582627652,1.4002859226837283,0.7194910826077393,0.9827757556280008,421,1,fan_line_quick_ols_rank,rank
fan_vote_index_mean,ols,C(industry)[T.Athlete],-0.0910890617668334,-0.2686525517068128,0.08647442817314599,0.09023341575236134,0.31354869950061326,421,1,fan_line_quick_ols_rank,rank
fan_vote_index_mean,ols,C(industry)[T.Beauty Pagent],-0.4513523359205399,-1.0670554807392678,0.16435080889818787,0.31288525510083276,0.1501804322657628,421,1,fan_line_quick_ols_rank,rank
fan_vote_index_mean,ols,C(industry)[T.Comedian],-0.22446296388968512,-0.6032379971430083,0.15431206936363806,0.19248419291440272,0.24447606798789426,421,1,fan_line_quick_ols_rank,rank
fan_vote_index_mean,ols,C(industry)[T.Con artist],-0.3517192464299558,-0.9560865619355201,0.25264806907560855,0.30712466434167257,0.2530299445770431,421,1,fan_line_quick_ols_rank,rank
fan_vote_index_mean,ols,C(industry)[T.Conservationist],0.3015095032030894,-0.32650952769421665,0.9295285341003954,0.3191438866993822,0.3455419491323796,421,1,fan_line_quick_ols_rank,rank
fan_vote_index_mean,ols,C(industry)[T.Entrepreneur],0.3075057689624163,-0.2988778300062225,0.9138893679310551,0.30814929020400333,0.31911845543832473,421,1,fan_line_quick_ols_rank,rank
fan_vote_index_mean,ols,C(industry)[T.Fashion Designer],-0.0503093423060766,-1.2366350696398307,1.1360163850276777,0.6028616727932821,0.9335481311152093,421,1,fan_line_quick_ols_rank,rank
fan_vote_index_mean,ols,C(industry)[T.Fitness Instructor],0.7224593679894634,-0.4503953023736703,1.895314038352597,0.5960160116460236,0.22640022775444343,421,1,fan_line_quick_ols_rank,rank
fan_vote_index_mean,ols,C(industry)[T.Journalist],-0.6960177912875193,-1.926968191492414,0.5349326089173753,0.6255388383601215,0.2667325050574488,421,1,fan_line_quick_ols_rank,rank
fan_vote_index_mean,ols,C(industry)[T.Magician],-1.451927928287734,-2.6437045960516494,-0.26015126052381854,0.6056317071862891,0.017118178439756927,421,1,fan_line_quick_ols_rank,rank
fan_vote_index_mean,ols,C(industry)[T.Military],0.5574225971434957,-0.6534410517962549,1.7682862460832465,0.6153312434393713,0.3657137120007646,421,1,fan_line_quick_ols_rank,rank
fan_vote_index_mean,ols,C(industry)[T.Model],-0.45291829532447625,-0.7950625052968475,-0.11077408535210498,0.17386930588115795,0.009642499426632044,421,1,fan_line_quick_ols_rank,rank
fan_vote_index_mean,ols,C(industry)[T.Motivational Speaker],0.47188669099793107,-0.721308366362476,1.6650817483583382,0.6063524980324384,0.4370358688339047,421,1,fan_line_quick_ols_rank,rank
fan_vote_index_mean,ols,C(industry)[T.Musician],0.6225965332312859,-0.558392343664732,1.803585410127304,0.6001496161395229,0.30037561894690407,421,1,fan_line_quick_ols_rank,rank
fan_vote_index_mean,ols,C(industry)[T.News Anchor],-0.17138128264373367,-0.8651105223913413,0.522347957103874,0.35253620511105566,0.6272206451973638,421,1,fan_line_quick_ols_rank,rank
fan_vote_index_mean,ols,C(industry)[T.Politician],-0.08172504476280364,-0.7699293577475266,0.6064792682219193,0.3497285726762277,0.8153901680403323,421,1,fan_line_quick_ols_rank,rank
fan_vote_index_mean,ols,C(industry)[T.Producer],0.41822689675668606,-0.7829102562939547,1.6193640498073267,0.6103884765019094,0.49375322334348254,421,1,fan_line_quick_ols_rank,rank
fan_vote_index_mean,ols,C(industry)[T.Racing Driver],0.09314514024151979,-0.5374079885197591,0.7236982690027987,0.3204316531551684,0.7714899959320589,421,1,fan_line_quick_ols_rank,rank
fan_vote_index_mean,ols,C(industry)[T.Radio Personality],-0.5676254651502154,-1.2055284025320403,0.0702774722316094,0.3241666458452883,0.08095268854387622,421,1,fan_line_quick_ols_rank,rank
fan_vote_index_mean,ols,C(industry)[T.Singer/Rapper],-0.07284308443189016,-0.2641312156557224,0.11844504679194207,0.0972079422354606,0.45422570956410174,421,1,fan_line_quick_ols_rank,rank
fan_vote_index_mean,ols,C(industry)[T.Social Media Personality],-0.0430140997264331,-0.4858276605757766,0.39979946112291037,0.2250270038644128,0.8485354418309373,421,1,fan_line_quick_ols_rank,rank
fan_vote_index_mean,ols,C(industry)[T.Social media personality],0.2566200253274182,-0.36280958256169077,0.8760496332165271,0.3147789523447267,0.41557595356257343,421,1,fan_line_quick_ols_rank,rank
fan_vote_index_mean,ols,C(industry)[T.Sports Broadcaster],0.21403133594057788,-0.9880394160425938,1.4161020879237496,0.610862908608721,0.7263004320472407,421,1,fan_line_quick_ols_rank,rank
fan_vote_index_mean,ols,C(industry)[T.TV Personality],0.13639197588708346,-0.05265778518825892,0.32544173696242584,0.09607045736013724,0.15672077391192366,421,1,fan_line_quick_ols_rank,rank
fan_vote_index_mean,ols,age,-0.02446137824748359,-0.04971926360201227,0.0007965071070450934,0.012835438585888665,0.05762641824801741,421,1,fan_line_quick_ols_rank,rank
fan_vote_index_mean,ols,age_sq,0.00020523161014560464,-8.321824889977102e-05,0.0004936814691909803,0.00014658315210941967,0.1625053664397334,421,1,fan_line_quick_ols_rank,rank
fan_vote_index_mean,ols,is_us,1.37800828789944,0.21817114870049314,2.537845427098387,0.5894008212034137,0.020038708806682813,421,1,fan_line_quick_ols_rank,rank
fan_vote_index_mean,ols,log_state_pop,-0.08129911687357223,-0.1512335903781229,-0.011364643369021557,0.03553898622566887,0.022849493366709314,421,1,fan_line_quick_ols_rank,rank
