season,week,tv_distance,rank_corr,n_contestants
1,1,0.018331759499490854,0.2571428571428572,6
1,2,0.07132171449706701,0.942857142857143,6
1,3,0.05952761855108805,0.0,5
1,4,0.11740960252425164,1.0,4
1,5,0.021134286007759323,0.5,3
1,6,0.01963677002802744,-0.9999999999999999,2
2,1,0.034909446184256294,0.8303030303030302,10
2,2,0.03987103577951079,0.13333333333333333,9
2,3,0.07538073947423185,0.9523809523809524,8
2,4,0.03932076537408904,0.6071428571428572,7
2,5,0.0319160057893003,0.8857142857142858,6
2,6,0.03906839276552934,0.7,5
2,7,0.04665560994143943,0.7999999999999999,4
2,8,0.026172810596932883,-0.5,3
3,1,0.04265248719203946,0.27272727272727276,11
3,2,0.10700555939399922,0.9030303030303028,10
3,3,0.11161394400253297,0.7333333333333334,9
3,4,0.10982029371082291,0.4761904761904762,8
3,5,0.28153693044563355,0.6071428571428572,7
3,6,0.02190980569998087,-0.6,5
3,7,0.07561284346761699,0.8999999999999998,5
3,8,0.06995804445856316,0.7999999999999999,4
3,9,0.019417613619523044,0.5,3
3,10,0.02113821830450402,0.9999999999999999,2
4,1,0.029813588436818104,0.16363636363636366,11
4,2,0.08705135066626482,0.4727272727272727,11
4,3,0.05864646195884772,0.709090909090909,10
4,4,0.05179441461646581,0.5,9
4,5,0.02659581893751328,0.6190476190476191,8
4,6,0.08950589667163215,0.5714285714285715,7
4,7,0.04026802749652411,0.6,6
4,8,0.033545743317152356,0.8999999999999998,5
4,9,0.08102248353341268,0.7999999999999999,4
4,10,0.020523450846533536,0.5,3
5,1,0.03582910044857839,0.5594405594405596,12
5,2,0.10163300367827133,0.05454545454545456,11
5,3,0.03656052548276645,0.5636363636363636,10
5,4,0.040866353725181145,0.43333333333333335,9
5,5,0.044772187580050506,0.6190476190476191,8
5,6,0.09072591646759022,0.8571428571428573,7
5,7,0.04719189697199991,0.6,6
5,8,0.10085146381476535,0.8999999999999998,5
5,9,0.07599759417164569,0.39999999999999997,4
5,10,0.021407711400025425,1.0,3
6,1,0.028991581469705895,0.1188811188811189,12
6,2,0.06320479028091108,0.6153846153846154,12
6,3,0.08107071861128948,0.2727272727272727,10
6,4,0.04463641331026433,0.39999999999999997,9
6,5,0.035760443764801406,0.2380952380952381,8
6,6,0.03226640787152988,0.8571428571428573,7
6,7,0.0794163795533494,0.5428571428571429,6
6,8,0.10472366525443948,0.49999999999999994,5
6,9,0.07094879536096564,0.39999999999999997,4
6,10,0.03692543044084537,-0.5,3
7,1,0.0988313086662154,0.6538461538461539,13
7,2,0.15808022919536,0.7181818181818183,11
7,3,0.023932567741417707,0.13333333333333333,9
7,4,0.03995593787124252,0.5499999999999999,9
7,5,0.11128693708366097,0.28571428571428575,8
7,6,0.042323382319963965,-0.10714285714285716,7
7,7,0.09380079220477136,0.942857142857143,6
7,8,0.05529266434494335,0.8999999999999998,5
7,9,0.05490320182619572,0.39999999999999997,4
7,10,0.024070986282026113,-0.5,3
8,1,0.030464481954656744,-0.016483516483516484,13
8,2,0.06318409379850679,0.4835164835164835,13
8,3,0.041278919347140355,0.5244755244755246,12
8,4,0.043027295196172835,0.7181818181818183,11
8,5,0.0884219455449079,0.5,9
8,6,0.0363037857563068,0.6904761904761906,8
8,7,0.049299787800903404,0.28571428571428575,7
8,8,0.04536057733697647,0.8857142857142858,6
8,9,0.06608282912045302,0.7,5
8,10,0.05797642199827387,1.0,4
8,11,0.030469793148764884,-0.5,3
9,1,0.055781915836535065,0.22352941176470587,16
9,2,0.046667013538129735,-0.2,14
9,3,0.06375039088064488,0.7967032967032966,13
9,4,0.06168719820039487,0.48181818181818187,11
9,5,0.07783773762352421,-0.07878787878787878,10
9,6,0.049455274201182176,0.8499999999999999,9
9,7,0.0568909778153072,0.642857142857143,7
9,8,0.03358493806209391,0.9999999999999999,5
9,9,0.11778078793595878,0.7999999999999999,4
9,10,0.025135734184651398,-0.5,3
10,1,0.03419363819030422,-0.48181818181818187,11
10,2,0.1261141203287822,0.5090909090909091,11
10,3,0.029384027836450867,0.32121212121212117,10
10,4,0.0626393873818169,0.38333333333333336,9
10,5,0.04284903417958329,0.8333333333333335,8
10,6,0.03542311851827314,0.7142857142857144,7
10,7,0.059270004605192494,0.7142857142857143,6
10,8,0.045724883280314016,0.7,5
10,9,0.07813881824170216,1.0,4
10,10,0.02204697401327388,-0.5,3
11,1,0.04794732146021111,0.14685314685314685,12
11,2,0.04552893159415219,0.20909090909090913,11
11,3,0.03829238725990648,0.49090909090909085,10
11,4,0.050367129003731526,0.19999999999999998,9
11,5,0.06816444835085517,0.1666666666666667,8
11,6,0.2514175448653443,0.7142857142857144,7
11,7,0.0869164394489629,0.48571428571428577,6
11,8,0.06129037810157265,0.8999999999999998,5
11,9,0.07384814154204161,1.0,4
11,10,0.010094946659973458,0.5,3
12,1,0.017471072481310558,0.5454545454545455,11
12,2,0.06546140692384031,-0.21818181818181823,11
12,3,0.04467283626599389,0.4424242424242424,10
12,4,0.036426953611403495,0.3666666666666667,9
12,5,0.061524677192487276,0.261904761904762,8
12,6,0.059087339766957285,0.21428571428571433,7
12,7,0.13361106620424443,0.8285714285714287,6
12,8,0.05047282623634202,0.8999999999999998,5
12,9,0.06088552904342486,1.0,4
12,10,0.003336214787867442,0.5,3
13,1,0.048218953422328764,0.4545454545454546,12
13,2,0.13912474881372958,0.7454545454545456,11
13,3,0.13077891270034922,0.4787878787878787,10
13,4,0.061335108890417885,0.5833333333333334,9
13,5,0.050701209255331975,0.4761904761904762,8
13,6,0.023441263963964166,0.7500000000000002,7
13,7,0.05879030799514535,0.6,6
13,8,0.06034268669146817,0.7999999999999999,5
13,9,0.08256522529815018,1.0,4
13,10,0.021232352961968376,-1.0,3
14,1,0.02123466856301849,0.06993006993006995,12
14,2,0.04680133524598548,0.09090909090909093,12
14,3,0.060582638613553313,0.02727272727272728,11
14,4,0.04110448796376354,0.4787878787878787,10
14,5,0.06545980967722095,-0.016666666666666666,9
14,6,0.02802013661560031,0.7619047619047621,8
14,7,0.06307572986650348,0.3571428571428572,7
14,8,0.20198009859388782,0.942857142857143,6
14,9,0.19905041440073257,0.39999999999999997,4
14,10,0.019958677925767054,-0.5,3
15,1,0.0477857137118827,0.39560439560439564,13
15,2,0.08146973590493027,0.30069930069930073,12
15,3,0.16631801623099618,0.4272727272727273,11
15,4,0.04334027890685206,0.3666666666666667,9
15,5,0.030336817599780172,-0.1666666666666667,8
15,6,0.29324624596869403,0.4523809523809524,8
15,7,0.027607191287204846,-0.03571428571428572,7
15,8,0.2900464445039594,0.3571428571428572,7
15,9,0.13276537048662607,0.6,5
15,10,0.03786618549816259,-0.5,3
16,1,0.0207147944245566,0.30069930069930073,12
16,2,0.038425398857892416,0.17482517482517487,12
16,3,0.05167141395576489,-0.07272727272727274,11
16,4,0.04272750866010062,-0.22424242424242422,10
16,5,0.05926832399601744,0.0,9
16,6,0.04733323608155173,0.09523809523809526,8
16,7,0.043017540897200085,0.5357142857142858,7
16,8,0.050827717424701886,0.7714285714285715,6
16,9,0.08099374558163033,0.3,5
16,10,0.0812120839322822,0.39999999999999997,4
17,1,0.013638625358799922,0.18181818181818185,12
17,2,0.04208548714575637,0.2517482517482518,12
17,3,0.045930871949873504,0.5272727272727273,11
17,4,0.0502031401215214,0.04242424242424241,10
17,5,0.19325345033236851,0.75,9
17,6,0.03662827266861597,-0.38095238095238104,8
17,7,0.08640485772087622,0.7619047619047621,8
17,8,0.07799631462141347,0.6071428571428572,7
17,9,0.21859958000143231,0.6571428571428573,6
17,10,0.054723118404960726,0.8999999999999998,5
17,11,0.04464902712019144,1.0,4
18,1,0.04474032059255364,0.17482517482517487,12
18,2,0.05071779881889443,0.6181818181818182,11
18,3,0.012844916137801261,0.33333333333333337,9
18,4,0.0304231562813288,-0.4666666666666666,9
18,5,0.05672884114452537,0.38333333333333336,9
18,6,0.028330216449615784,0.2380952380952381,8
18,7,0.04624520527464746,0.6785714285714287,7
18,8,0.15403877626604337,0.3714285714285715,6
18,9,0.1007817757713362,0.3,5
18,10,0.06426629930026229,1.0,4
19,1,0.058191342853883714,0.32417582417582413,13
19,2,0.04847655995697986,0.4895104895104896,12
19,3,0.04134957739215709,0.41818181818181827,11
19,4,0.0740585731290097,0.9030303030303028,10
19,5,0.023487979415980922,-0.5166666666666667,9
19,6,0.09256328983116403,0.7166666666666667,9
19,7,0.05945194817565756,0.19047619047619052,8
19,8,0.034231624299150915,0.8571428571428573,7
19,9,0.03781884600506173,0.6,6
19,10,0.04701331218217953,0.9999999999999999,5
19,11,0.07700765805005963,0.7999999999999999,4
20,1,0.01425227602036648,0.5384615384615385,12
20,2,0.17770503906356575,0.4685314685314686,12
20,3,0.041259438361811875,0.5454545454545455,11
20,4,0.09808825277909203,0.29696969696969694,10
20,5,0.11741504392390029,0.3666666666666667,9
20,6,0.055368365072899974,0.6190476190476191,8
20,7,0.33209125091237307,0.8214285714285715,7
20,8,0.1130318635442192,0.7714285714285715,6
20,9,0.20365622269245512,0.39999999999999997,4
20,10,0.014071405381947177,-0.5,3
21,1,0.01941191260859044,0.32967032967032966,13
21,2,0.11374332305636062,0.5989010989010989,13
21,3,0.013021367898420476,0.8303030303030302,10
