outcome,model,term,estimate,ci_low,ci_high,std_err,p_value,n_obs,n_refits,note
judge_score_pct_mean,mixedlm,Intercept,0.1713262677999068,0.14289682539368787,0.19975571020612576,0.014504817554193333,3.397036403259895e-32,421,1,judge_line
judge_score_pct_mean,mixedlm,C(industry)[T.Astronaut],-0.012780081037692806,-0.08102807343069311,0.0554679113553075,0.034820404282143017,0.7135977532756,421,1,judge_line
judge_score_pct_mean,mixedlm,C(industry)[T.Athlete],-0.00677519758569333,-0.015929558293729218,0.002379163122342557,0.004670592197977493,0.14688909537643255,421,1,judge_line
judge_score_pct_mean,mixedlm,C(industry)[T.Beauty Pagent],-0.04239658012623871,-0.10846246231830403,0.023669302065826604,0.03370708275105373,0.208466119314895,421,1,judge_line
judge_score_pct_mean,mixedlm,C(industry)[T.Comedian],-0.017671060774742935,-0.03742147909682196,0.0020793575473360866,0.010076744041877052,0.07949086228057328,421,1,judge_line
judge_score_pct_mean,mixedlm,C(industry)[T.Con artist],-0.05462175524672833,-0.12112350819469267,0.01187999770123601,0.03392946578977773,0.10742800185903487,421,1,judge_line
judge_score_pct_mean,mixedlm,C(industry)[T.Conservationist],-0.016911506768581306,-0.0836386916888988,0.049815678151736195,0.0340444821022028,0.6193672169637636,421,1,judge_line
judge_score_pct_mean,mixedlm,C(industry)[T.Entrepreneur],-0.017917627858255583,-0.0509974722143019,0.015162216497790731,0.01687747161022771,0.2884037515363108,421,1,judge_line
judge_score_pct_mean,mixedlm,C(industry)[T.Fashion Designer],-0.012169523647980789,-0.07822829319578953,0.053889245899827944,0.033703453850922827,0.7180422935684341,421,1,judge_line
judge_score_pct_mean,mixedlm,C(industry)[T.Fitness Instructor],-0.014893492226911952,-0.07994417038910741,0.050157185935283496,0.033189121511324214,0.6536147513726183,421,1,judge_line
judge_score_pct_mean,mixedlm,C(industry)[T.Journalist],-0.021214223227918404,-0.087463284947766,0.04503483849192919,0.03380054169379979,0.5302465597721657,421,1,judge_line
judge_score_pct_mean,mixedlm,C(industry)[T.Magician],-0.04166405725241252,-0.10689323409707877,0.023565119592253735,0.033280192267686866,0.21059990377275473,421,1,judge_line
judge_score_pct_mean,mixedlm,C(industry)[T.Military],0.002328396598879286,-0.06339923587687382,0.0680560290746324,0.03353450636518016,0.9446450755859268,421,1,judge_line
judge_score_pct_mean,mixedlm,C(industry)[T.Model],-0.022408677202552133,-0.03963313002582197,-0.005184224379282298,0.008787986134321345,0.01077470919870281,421,1,judge_line
judge_score_pct_mean,mixedlm,C(industry)[T.Motivational Speaker],0.016035210422345337,-0.04933731305139519,0.08140773389608585,0.033353328302928836,0.6306814494541038,421,1,judge_line
judge_score_pct_mean,mixedlm,C(industry)[T.Musician],0.020804937248051512,-0.04431067823858118,0.08592055273468421,0.033222252799302396,0.5311608180687886,421,1,judge_line
judge_score_pct_mean,mixedlm,C(industry)[T.News Anchor],-0.0020949190148281346,-0.039992816499904875,0.03580297847024861,0.019335661982182013,0.913722162509191,421,1,judge_line
judge_score_pct_mean,mixedlm,C(industry)[T.Politician],-0.01994650979115254,-0.05809582680797801,0.018202807225672926,0.01946393725348238,0.305460793860695,421,1,judge_line
judge_score_pct_mean,mixedlm,C(industry)[T.Producer],0.006089864653926078,-0.05931689146250951,0.07149662077036167,0.03337079393695694,0.8551975320093186,421,1,judge_line
judge_score_pct_mean,mixedlm,C(industry)[T.Racing Driver],0.001137946964106694,-0.03260056559343761,0.03487645952165099,0.017213526815073623,0.9472920667919924,421,1,judge_line
judge_score_pct_mean,mixedlm,C(industry)[T.Radio Personality],-0.028783156198260666,-0.062241654701891844,0.004675342305370516,0.017070662501852643,0.09177301860143003,421,1,judge_line
judge_score_pct_mean,mixedlm,C(industry)[T.Singer/Rapper],-0.007130709775027317,-0.017459709839147276,0.0031982902890926417,0.005269897991897939,0.1760230309117743,421,1,judge_line
judge_score_pct_mean,mixedlm,C(industry)[T.Social Media Personality],-0.023468775631229663,-0.047763521188515345,0.0008259699260560159,0.012395278345553918,0.05830945970563022,421,1,judge_line
judge_score_pct_mean,mixedlm,C(industry)[T.Social media personality],-0.009648819659026545,-0.07574760853434505,0.05644996921629196,0.0337238718751625,0.7747919950402724,421,1,judge_line
judge_score_pct_mean,mixedlm,C(industry)[T.Sports Broadcaster],-0.006934320227893307,-0.053749549430782695,0.03988090897499608,0.02388532102188234,0.7715735588579425,421,1,judge_line
judge_score_pct_mean,mixedlm,C(industry)[T.TV Personality],-0.01619066268216863,-0.02624679767241707,-0.00613452769192019,0.005130681117473693,0.0016013781603051017,421,1,judge_line
judge_score_pct_mean,mixedlm,age,-0.001575565003097647,-0.002854581280914334,-0.00029654872528096007,0.000652559325416677,0.01575944049718822,421,1,judge_line
judge_score_pct_mean,mixedlm,age_sq,4.290280942805051e-06,-1.014653193103417e-05,1.8727093816644275e-05,7.365720853999604e-06,0.5602529299524995,421,1,judge_line
judge_score_pct_mean,mixedlm,is_us,0.08980421019292631,0.030448643357904412,0.1491597770279482,0.030283452466847906,0.00302235731431026,421,1,judge_line
judge_score_pct_mean,mixedlm,log_state_pop,-0.0056238525895492214,-0.00920268597790624,-0.0020450192011922026,0.0018259354022229688,0.0020701142402739098,421,1,judge_line
fan_vote_index_mean,mixedlm,C(industry)[T.Astronaut],-0.030045669408775566,-0.9612625484288859,1.2899876720910877,,,421,15,fan_line_posterior_refit
fan_vote_index_mean,mixedlm,C(industry)[T.Athlete],-0.07842159928233772,-0.22495299652960654,0.019510328589168825,,,421,15,fan_line_posterior_refit
fan_vote_index_mean,mixedlm,C(industry)[T.Beauty Pagent],-0.7438560703328597,-1.2921033466757663,0.1348307962198227,,,421,15,fan_line_posterior_refit
fan_vote_index_mean,mixedlm,C(industry)[T.Comedian],-0.20265058719080803,-0.5593790902929536,0.16485555363958818,,,421,15,fan_line_posterior_refit
fan_vote_index_mean,mixedlm,C(industry)[T.Con artist],-0.7525241396944066,-1.8948208882013995,0.6797530781511008,,,421,15,fan_line_posterior_refit
fan_vote_index_mean,mixedlm,C(industry)[T.Conservationist],-0.195305802283988,-0.8259333196280904,0.42760820078078354,,,421,15,fan_line_posterior_refit
fan_vote_index_mean,mixedlm,C(industry)[T.Entrepreneur],-0.2869696104559985,-0.5914576251882352,0.37242131284730595,,,421,15,fan_line_posterior_refit
fan_vote_index_mean,mixedlm,C(industry)[T.Fashion Designer],-0.04202298984451358,-1.6356015748727168,1.0988224055453382,,,421,15,fan_line_posterior_refit
fan_vote_index_mean,mixedlm,C(industry)[T.Fitness Instructor],0.11239373748220291,-0.43085872786027135,0.7604162849572615,,,421,15,fan_line_posterior_refit
fan_vote_index_mean,mixedlm,C(industry)[T.Journalist],-0.25247750302511873,-1.2902779683707557,0.6870297708514637,,,421,15,fan_line_posterior_refit
fan_vote_index_mean,mixedlm,C(industry)[T.Magician],-0.7151859631313889,-2.2604334027589905,0.8946644645076063,,,421,15,fan_line_posterior_refit
fan_vote_index_mean,mixedlm,C(industry)[T.Military],0.20581464387721474,-0.36669906474816616,0.5911065059906141,,,421,15,fan_line_posterior_refit
